role,feature,mean_day1,mean_day2,std_mean_diff,n_day1,n_day2,abs_std_mean_diff
SEER,day1_vote_id_Admiration,0.009615384615384616,0.0,-0.09805806756909202,208,208,0.09805806756909202
SEER,Vote_recepient_id_Req(T),0.7222222222222222,1.2,0.34780775617029985,90,20,0.34780775617029985
SEER,Vote_recepient_id_Vote,0.6333333333333333,1.05,0.3046652914088436,90,20,0.3046652914088436
SEER,Fact_recepient_id_ReqDiscuss,4.129032258064516,1.1111111111111112,-1.1009897421476926,31,9,1.1009897421476926
SEER,day1_vote_id_Fact,0.15384615384615385,0.052884615384615384,-0.25004588444008263,208,208,0.25004588444008263
SEER,Dis_id_Req(T),0.48,1.375,0.7131734673094327,75,16,0.7131734673094327
SEER,Dis_id_difficult,0.14666666666666667,0.25,0.1813466500191772,75,16,0.1813466500191772
SEER,difficult,0.11555555555555555,0.0044444444444444444,-0.3920115566710385,225,225,0.3920115566710385
SEER,Vote_recepient_id_Sus,0.8888888888888888,0.85,-0.03416521309423235,90,20,0.03416521309423235
SEER,Agr_id_Admiration,0.0,0.0,,43,7,
SEER,Fact_recepient_id_Sus,2.0,0.5555555555555556,-1.1340851656121298,31,9,1.1340851656121298
SEER,day1_vote_id_Wait,0.23557692307692307,0.038461538461538464,-0.3674306840868129,208,208,0.3674306840868129
SEER,Est_id_ReqDiscuss,3.2837837837837838,2.4,-0.2922420472115663,74,15,0.2922420472115663
SEER,Fact,0.2,0.06666666666666667,-0.2741099566666916,225,225,0.2741099566666916
SEER,day1_vote_id_Pers,1.2355769230769231,0.46634615384615385,-0.37530073395703717,208,208,0.37530073395703717
SEER,Fact_recepient_id_ReqListen,0.45161290322580644,0.0,-0.6649349642293114,31,9,0.6649349642293114
SEER,Agr_id_ReqListen,0.46511627906976744,0.0,-0.5069890962303336,43,7,0.5069890962303336
SEER,Mt,2.1333333333333333,0.5111111111111111,-0.5555268317731719,225,225,0.5555268317731719
SEER,Dis_id_Sus,0.9333333333333333,2.125,0.6768457737967006,75,16,0.6768457737967006
SEER,ReqDiscuss,2.3644444444444446,0.28444444444444444,-0.7713166858693968,225,225,0.7713166858693968
SEER,day1_vote_id_Sus,1.2451923076923077,0.44711538461538464,-0.5945668632103829,208,208,0.5945668632103829
SEER,Agr_id_XOR,0.0,0.0,,43,7,
